Body;Model;Last TP;Engine;Color;SFX;Transmission;PPO;Seq;Comment;Welding;Seq
11275;831W;T1;AXAA54L-RNZMBX;218;52;8AT; ;   ;  ;;
11276;664W;P1;ASV70L-RETNKX ;218;S2;   ; ;   ;  ;;
11277;831W;P1;MXAA54L-RNXMBX;089;52;CVT; ;   ;  ;;
11278;831W;P1;MXAA54L-RNXGBX;218;85;CVT; ;   ;  ;;
11279;664W;P1;ASV70L-RETNKX ;089;B5;   ; ;   ;  ;;
11280;831W;P1;AXAA54L-RNZMBX;4X7;52;8AT; ;   ;  ;;
11281;664W;P1;GSV70L-REZGBX ;218;C6;   ; ;   ;  ;;
11282;831W;P1;MXAA54L-RNXMBX;2PS;55;CVT; ;   ;  ;;
11283;664W;P1;ASV70L-RETNKX ;089;BX;   ; ;   ;  ;;
11284;831W;P1;AXAA54L-RNZMBX;1F7;56;8AT; ;   ;  ;;
11285;831W;P1;MXAA54L-RNXGBX;089;85;CVT; ;   ;  ;;
11286;664W;P1;ASV70L-RETNKX ;218;B2;   ; ;   ;  ;;
11287;831W;P1;MXAA52L-RNXMBX;089;51;CVT; ;   ;  ;;
11288;664W;P1;ASV70L-RETNKX ;218;B3;   ; ;   ;  ;;
11289;831W;P1;AXAA54L-RNZGBX;089;88;8AT; ;   ;  ;;
11290;664W;P1;ASV70L-RETNKX ;218;B2;   ; ;   ;  ;;
11291;831W;P1;MXAA54L-RNXMBX;089;52;CVT; ;   ;  ;;
11292;664W;P1;ASV70L-RETNKX ;2PS;S1;   ; ;   ;  ;;
11293;831W;P1;AXAA54L-RNZMBX;218;52;8AT; ;   ;  ;;
11294;831W;P1;MXAA54L-RNXGBX;089;85;CVT; ;   ;  ;;
11295;664W;P1;ASV70L-RETNKX ;218;B5;   ; ;   ;  ;;
11296;831W;P1;MXAA52L-RNFXBX;040;20;6MT; ;   ;  ;;
11297;664W;P1;GSV70L-REZGBX ;218;C6;   ; ;   ;  ;;
11298;831W;P1;MXAA54L-RNXMBX;089;52;CVT; ;   ;  ;;
11299;664W;P1;ASV70L-RETNKX ;221;B2;   ; ;   ;  ;;
11300;831W;P1;AXAA54L-RNZMBX;4X7;52;8AT; ;   ;  ;;
11301;831W;P1;MXAA54L-RNXGBX;1F7;88;CVT; ;   ;  ;;
11302;664W;P1;ASV70L-RETNKX ;089;B5;   ; ;   ;  ;;
11303;831W;P1;MXAA54L-RNXMBX;2PS;55;CVT; ;   ;  ;;
11304;664W;P1;ASV70L-RETNKX ;218;BX;   ; ;   ;  ;;
11305;831W;P1;AXAA54L-RNZGBX;089;85;8AT; ;   ;  ;;
11306;664W;P1;ASV71L-RETNHX ;218;A3;   ; ;   ;  ;;
11307;831W;P1;MXAA54L-RNXMBX;089;52;CVT; ;   ;  ;;
11308;664W;P1;ASV70L-RETNKX ;218;B4;   ; ;   ;  ;;
11309;831W;P1;MXAA52L-RNXMBX;089;51;CVT; ;   ;  ;;
11310;831W;P1;AXAA54L-RNZMBX;218;52;8AT; ;   ;  ;;
11311;664W;P1;ASV70L-RETNKX ;089;B5;   ; ;   ;  ;;
11312;831W;P1;MXAA54L-RNXGBX;1F7;88;CVT; ;   ;  ;;
11313;664W;P1;ASV70L-RETNKX ;2PS;S1;   ; ;   ;  ;;
11314;831W;P1;MXAA54L-RNXMBX;089;54;CVT; ;   ;  ;;
